 
 ----------START O ISOTOPE CALCULATION----------
 
  Gross Primary Productivity FOR O2 CO2= 1.16E+14  8.45E+13 cm-2s-1
  TURN OFF Combinatorial Effect
  TURN ON Symmetry Effect
 
 INITIAL MIXING RATIOS OF ISOTOPIC SPECIES
 
Alt(km)  H2CQ     Q        H2Q      QH       HOQ      H2OQ     O2Q      OQO      CQ       CH3OQH  
  59.5   4.89E-18 3.75E-22 9.37E-23 3.23E-04 3.36E-21 3.39E-18 5.81E-18 1.39E-29 4.96E-07
  61.5   2.98E-18 1.20E-22 3.00E-23 3.23E-04 5.57E-21 3.59E-18 5.38E-18 2.75E-29 4.96E-07
  63.5   2.18E-18 5.81E-23 1.45E-23 3.23E-04 1.18E-20 3.75E-18 5.02E-18 7.07E-29 4.96E-07
  65.5   1.39E-18 2.15E-23 5.37E-24 3.23E-04 1.61E-20 3.89E-18 4.72E-18 1.23E-28 4.95E-07
  67.5   1.01E-18 9.65E-24 2.41E-24 3.23E-04 2.50E-20 3.99E-18 4.46E-18 2.50E-28 4.95E-07
  69.5   7.69E-19 5.00E-24 1.25E-24 3.23E-04 3.67E-20 4.06E-18 4.24E-18 5.04E-28 4.95E-07
  71.5   5.96E-19 2.69E-24 6.73E-25 3.23E-04 4.89E-20 4.12E-18 4.06E-18 9.62E-28 4.94E-07
  73.5   4.22E-19 1.21E-24 3.03E-25 3.22E-04 5.89E-20 4.17E-18 3.89E-18 1.64E-27 4.94E-07
  75.5   2.63E-19 4.17E-25 1.04E-25 3.22E-04 6.93E-20 4.22E-18 3.72E-18 2.53E-27 4.93E-07
  77.5   1.41E-19 1.06E-25 2.64E-26 3.22E-04 8.31E-20 4.26E-18 3.54E-18 3.61E-27 4.92E-07
  79.5   6.81E-20 2.14E-26 5.34E-27 3.22E-04 9.39E-20 4.29E-18 3.37E-18 4.92E-27 4.91E-07
  81.5   1.89E-20 2.48E-27 6.19E-28 3.22E-04 1.89E-19 4.15E-18 3.19E-18 7.00E-27 4.90E-07
  83.5   8.34E-22 1.75E-28 4.37E-29 3.22E-04 6.73E-19 3.22E-18 3.00E-18 4.42E-27 4.87E-07
  85.5   9.57E-23 1.23E-29 3.07E-30 3.21E-04 1.14E-18 2.31E-18 2.82E-18 1.99E-27 4.84E-07
  87.5   2.97E-23 8.75E-31 2.19E-31 3.20E-04 1.44E-18 1.70E-18 2.63E-18 8.47E-28 4.81E-07
  89.5   1.22E-23 6.29E-32 1.57E-32 3.19E-04 1.64E-18 1.29E-18 2.42E-18 3.77E-28 4.75E-07
  91.5   4.93E-24 4.59E-33 1.15E-33 3.17E-04 1.75E-18 1.02E-18 2.20E-18 1.72E-28 4.68E-07
  93.5   2.09E-24 3.40E-34 8.51E-35 3.14E-04 1.81E-18 8.06E-19 1.96E-18 8.29E-29 4.59E-07
  95.5   9.09E-25 2.58E-35 6.44E-36 3.10E-04 1.83E-18 6.29E-19 1.71E-18 4.14E-29 4.46E-07
  97.5   4.07E-25 2.02E-36 5.04E-37 3.06E-04 1.81E-18 4.88E-19 1.44E-18 2.12E-29 4.30E-07
  99.5   1.88E-25 2.01E-37 5.03E-38 3.01E-04 1.73E-18 3.93E-19 1.18E-18 1.10E-29 4.10E-07
Alt(km)  NO2Q     N2O4Q    N2QO4    OQ       SQ       SOQ      H2SO3Q   HSQ      COQ     
 
Alt(km)  HQO      HQONO2  
   0.5   8.74E-15 1.14E-16
   1.5   8.85E-15 2.87E-16
   2.5   8.83E-15 7.53E-16
   3.5   8.49E-15 2.02E-15
   5.5   7.08E-15 1.32E-14
   7.5   5.12E-15 4.07E-14
   9.5   3.36E-15 5.18E-14
  11.5   1.46E-15 3.67E-14
  13.5   5.91E-16 3.02E-14
  15.5   4.98E-16 4.70E-14
  17.5   6.94E-16 8.41E-14
  19.5   1.23E-15 1.38E-13
  21.5   2.61E-15 2.03E-13
  23.5   6.15E-15 2.74E-13
  25.5   1.41E-14 3.34E-13
  27.5   3.00E-14 3.71E-13
  29.5   5.72E-14 3.70E-13
  31.5   9.61E-14 3.11E-13
  33.5   1.41E-13 2.09E-13
  35.5   1.80E-13 1.09E-13
  37.5   2.06E-13 4.56E-14
  39.5   2.29E-13 1.61E-14
  41.5   2.58E-13 5.22E-15
  43.5   2.94E-13 1.68E-15
  45.5   3.28E-13 5.56E-16
  47.5   3.57E-13 1.90E-16
  49.5   3.84E-13 7.20E-17
  51.5   4.11E-13 2.86E-17
  53.5   4.46E-13 1.27E-17
  55.5   4.91E-13 5.93E-18
  57.5   5.55E-13 2.96E-18
  59.5   6.49E-13 1.63E-18
  61.5   7.85E-13 1.02E-18
  63.5   9.62E-13 8.09E-19
  65.5   1.23E-12 5.55E-19
  67.5   1.60E-12 4.40E-19
  69.5   2.21E-12 3.91E-19
  71.5   3.17E-12 3.59E-19
  73.5   4.46E-12 2.90E-19
  75.5   5.86E-12 1.88E-19
  77.5   6.98E-12 9.55E-20
  79.5   8.39E-12 4.19E-20
  81.5   5.94E-12 8.59E-21
  83.5   1.06E-12 8.12E-22
  85.5   2.80E-13 7.76E-23
  87.5   9.39E-14 7.57E-24
  89.5   3.67E-14 7.47E-25
  91.5   1.56E-14 7.50E-26
  93.5   7.19E-15 7.65E-27
  95.5   3.51E-15 7.99E-28
  97.5   1.80E-15 8.67E-29
  99.5   9.54E-16 1.24E-29
Alt(km)  HQO      HQONO2  
 
 N =  1  EMAX = 1.17E-01 FOR O2Q     AT Z = 5.05E+06 U = 2.45E-09 RHS = 2.86E-10
 N =  2  EMAX = 3.38E-05 FOR Q       AT Z = 4.35E+06 U = 1.04E-11 RHS = 3.50E-16
